"scenario","sex","age_lower","age_upper","ave"
"1","F",5,9,0.131205673758865
"1","F",10,14,0.124113475177305
"1","F",15,19,0.113475177304965
"1","F",20,24,0.117021276595745
"1","F",25,29,0.117021276595745
"1","F",30,34,0.109929078014184
"1","F",35,39,0.0957446808510638
"1","F",40,44,0.0780141843971631
"1","F",45,49,0.0638297872340425
"1","F",50,54,0.049645390070922
"1","M",5,9,0.135338345864662
"1","M",10,14,0.135338345864662
"1","M",15,19,0.131578947368421
"1","M",20,24,0.12406015037594
"1","M",25,29,0.112781954887218
"1","M",30,34,0.0977443609022556
"1","M",35,39,0.0827067669172932
"1","M",40,44,0.0676691729323308
"1","M",45,49,0.0601503759398496
"1","M",50,54,0.0526315789473684
"2","F",5,9,0.117029862792575
"2","F",10,14,0.123486682808717
"2","F",15,19,0.121065375302663
"2","F",20,24,0.112994350282486
"2","F",25,29,0.114608555286521
"2","F",30,34,0.104116222760291
"2","F",35,39,0.0944309927360775
"2","F",40,44,0.0847457627118644
"2","F",45,49,0.0710250201775626
"2","F",50,54,0.0564971751412429
"2","M",5,9,0.128909952606635
"2","M",10,14,0.128909952606635
"2","M",15,19,0.13175355450237
"2","M",20,24,0.122274881516588
"2","M",25,29,0.109004739336493
"2","M",30,34,0.0976303317535545
"2","M",35,39,0.0853080568720379
"2","M",40,44,0.0739336492890995
"2","M",45,49,0.0663507109004739
"2","M",50,54,0.0559241706161137
"3","F",5,9,0.12062833432128
"3","F",10,14,0.123888559573207
"3","F",15,19,0.12655601659751
"3","F",20,24,0.125370480142264
"3","F",25,29,0.117960877296977
"3","F",30,34,0.104030823947836
"3","F",35,39,0.0874333135743924
"3","F",40,44,0.0737996443390634
"3","F",45,49,0.0643153526970954
"3","F",50,54,0.0560165975103734
"3","M",5,9,0.135828554180501
"3","M",10,14,0.12888620585572
"3","M",15,19,0.117416239058255
"3","M",20,24,0.108964684575913
"3","M",25,29,0.110775731964986
"3","M",30,34,0.102626018714156
"3","M",35,39,0.0974947177784485
"3","M",40,44,0.0821008149713251
"3","M",45,49,0.0636884998490794
"3","M",50,54,0.0522185330516148
